Sufijo,Número,frec_afijada,frec_pseudoafijada,count_afijada,count_pseudoafijada,prop_frec_afij,prop_count_afij
 atario ,singular ,60.0,0.0,7.0,0.0,1.0,1.0
 ate ,Total,143.0,2977.0,5.0,64.0,0.04583333333333333,0.07246376811594203
 ate ,plural ,0.0,24.0,0.0,8.0,0.0,0.0
 ate ,singular ,143.0,2953.0,5.0,56.0,0.046188630490956076,0.08196721311475409
 ato ,Total,1398.0,5507.0,77.0,83.0,0.20246198406951485,0.48125
 ato ,plural ,12.0,11.0,4.0,5.0,0.5217391304347826,0.4444444444444444
 ato ,singular ,1386.0,5496.0,73.0,78.0,0.2013949433304272,0.48344370860927155
 ava ,Total,48.0,399.0,4.0,25.0,0.10738255033557047,0.13793103448275862
 ava ,plural ,0.0,7.0,0.0,3.0,0.0,0.0
 ava ,singular ,48.0,392.0,4.0,22.0,0.10909090909090909,0.15384615384615385
 avo ,Total,116.0,301.0,8.0,15.0,0.27817745803357313,0.34782608695652173
 avo ,singular ,116.0,301.0,8.0,15.0,0.27817745803357313,0.34782608695652173
 aza ,Total,36.0,3321.0,16.0,43.0,0.010723860589812333,0.2711864406779661
 aza ,plural ,5.0,7.0,5.0,5.0,0.4166666666666667,0.5
 aza ,singular ,31.0,3314.0,11.0,38.0,0.009267563527653214,0.22448979591836735
 azgo ,Total,205.0,0.0,9.0,0.0,1.0,1.0
 azgo ,singular ,205.0,0.0,9.0,0.0,1.0,1.0
 azo ,Total,753.0,1988.0,204.0,48.0,0.2747172564757388,0.8095238095238095
 azo ,plural ,48.0,6.0,38.0,4.0,0.8888888888888888,0.9047619047619048
 azo ,singular ,705.0,1982.0,166.0,44.0,0.26237439523632305,0.7904761904761904
 azón ,Total,76.0,4260.0,10.0,12.0,0.017527675276752766,0.45454545454545453
 azón ,singular ,76.0,4260.0,10.0,12.0,0.017527675276752766,0.45454545454545453
 aña ,Total,1166.0,2025.0,9.0,46.0,0.36540269507991224,0.16363636363636364
 aña ,plural ,9.0,30.0,1.0,3.0,0.23076923076923078,0.25
 aña ,singular ,1157.0,1995.0,8.0,43.0,0.36706852791878175,0.1568627450980392
 año ,Total,77.0,7750.0,1.0,44.0,0.009837741152421106,0.022222222222222223
 año ,plural ,77.0,36.0,1.0,4.0,0.6814159292035398,0.2
 año ,singular ,0.0,7714.0,0.0,40.0,0.0,0.0
 blasto ,Total,10.0,1.0,3.0,1.0,0.9090909090909091,0.75
 blasto ,plural ,9.0,1.0,2.0,1.0,0.9,0.6666666666666666
 blasto ,singular ,1.0,0.0,1.0,0.0,1.0,1.0
 cardia ,Total,13.0,0.0,1.0,0.0,1.0,1.0
 cardia ,singular ,13.0,0.0,1.0,0.0,1.0,1.0
 cardio ,Total,49.0,0.0,1.0,0.0,1.0,1.0
 cardio ,singular ,49.0,0.0,1.0,0.0,1.0,1.0
 carpio ,Total,1.0,0.0,1.0,0.0,1.0,1.0
 carpio ,singular ,1.0,0.0,1.0,0.0,1.0,1.0
 cefalia ,Total,2.0,0.0,2.0,0.0,1.0,1.0
 cefalia ,singular ,2.0,0.0,2.0,0.0,1.0,1.0
 cele ,Total,4.0,151.0,2.0,6.0,0.025806451612903226,0.25
 cele ,plural ,0.0,151.0,0.0,6.0,0.0,0.0
 cele ,singular ,4.0,0.0,2.0,0.0,1.0,1.0
 centesis ,Total,13.0,0.0,3.0,0.0,1.0,1.0
 centesis ,singular ,13.0,0.0,3.0,0.0,1.0,1.0
 cidio ,Total,323.0,0.0,12.0,0.0,1.0,1.0
 cidio ,plural ,1.0,0.0,1.0,0.0,1.0,1.0
 cidio ,singular ,322.0,0.0,11.0,0.0,1.0,1.0
 cito ,Total,316.0,963.0,111.0,4.0,0.2470680218921032,0.9652173913043478
 cito ,plural ,39.0,0.0,24.0,0.0,1.0,1.0
 cito ,singular ,277.0,963.0,87.0,4.0,0.22338709677419355,0.9560439560439561
 ción ,Total,60931.0,13022.0,1638.0,158.0,0.8239151893770368,0.9120267260579065
 ción ,plural ,78.0,30.0,47.0,4.0,0.7222222222222222,0.9215686274509803
 ción ,singular ,60853.0,12992.0,1591.0,154.0,0.8240639176653802,0.9117478510028654
 coco ,Total,29.0,68.0,4.0,4.0,0.29896907216494845,0.5
 coco ,plural ,0.0,1.0,0.0,1.0,0.0,0.0
 coco ,singular ,29.0,67.0,4.0,3.0,0.3020833333333333,0.5714285714285714
 cola ,Total,19.0,445.0,6.0,7.0,0.040948275862068964,0.46153846153846156
 cola ,plural ,11.0,0.0,4.0,0.0,1.0,1.0
 cola ,singular ,8.0,445.0,2.0,7.0,0.017660044150110375,0.2222222222222222
 cole ,Total,0.0,305.0,0.0,7.0,0.0,0.0
 cole ,plural ,0.0,293.0,0.0,5.0,0.0,0.0
 cole ,singular ,0.0,12.0,0.0,2.0,0.0,0.0
 colía ,Total,0.0,85.0,0.0,1.0,0.0,0.0
 colía ,singular ,0.0,85.0,0.0,1.0,0.0,0.0
 cosmo ,Total,5.0,88.0,4.0,2.0,0.053763440860215055,0.6666666666666666
 cosmo ,plural ,2.0,88.0,1.0,2.0,0.022222222222222223,0.3333333333333333
 cosmo ,singular ,3.0,0.0,3.0,0.0,1.0,1.0
 cracia ,Total,1166.0,2.0,18.0,1.0,0.9982876712328768,0.9473684210526315
 cracia ,singular ,1166.0,2.0,18.0,1.0,0.9982876712328768,0.9473684210526315
 crata ,Total,283.0,0.0,17.0,0.0,1.0,1.0
 crata ,plural ,1.0,0.0,1.0,0.0,1.0,1.0
 crata ,singular ,282.0,0.0,16.0,0.0,1.0,1.0
 cromía ,Total,5.0,1.0,1.0,1.0,0.8333333333333334,0.5
 cromía ,singular ,5.0,1.0,1.0,1.0,0.8333333333333334,0.5
